,Unnamed: 0,model,content,score,creationTime,nickname,productColor,productSales,productSize,userClientShow,userLevelName
12874,12874,麦芒6 极光蓝,还不错，着急收货，京东客服也特地帮忙处理，服务很好,5,2018-09-12 19:03:56,j***p,宝石蓝,6GB+64GB,标准版,来自京东iPhone客户端,银牌会员
12875,12875,麦芒6 极光蓝,所有东西都非常的完美，手机跑分分数也很高，渐变色很好看，美中不足的就是耳机线和充电线是同一个头&hellip;然后我边带着耳机打游戏边充电的坏习惯要改掉了&hellip;很多时候还是挺不方便的&hellip;比如我要带着耳机打电话，但是我手机没电了要充电怎么办&hellip;,5,2018-09-12 17:49:43,小***叽,极光色,6GB+64GB,标准版,来自京东Android客户端,银牌会员
12876,12876,麦芒6 极光蓝,每次买都是京东包装，为什么这次买不是京东包装啊。有些怀疑。,5,2018-09-12 17:48:17,X***6,极光色,6GB+128GB,标准版,来自京东Android客户端,金牌会员
12877,12877,麦芒6 极光蓝,挺好的！期待下次购买,5,2018-09-12 17:46:50,j***1,亮黑色,6GB+128GB,标准版,来自京东Android客户端,金牌会员
12878,12878,麦芒6 极光蓝,实体太让人惊喜了，颜色炫丽，系统稳定，支持国产，过段放弃苹果x，拍照的效果太好了，大内存，再也不用为内存不够而烦忧了,5,2018-09-12 17:32:46,j***h,极光色,6GB+128GB,标准版,来自京东Android客户端,钻石会员
12879,12879,麦芒6 极光蓝,手机照相功能不错，手感挺好。,5,2018-09-12 17:23:38,h***f,宝石蓝,6GB+128GB,标准版,,PLUS会员
12880,12880,麦芒6 极光蓝,包装很安全，性能试用了一下，很好，符合预期,5,2018-09-12 17:21:05,b***0,珠光贝母色,6GB+128GB,标准版,来自京东Android客户端,PLUS会员
12881,12881,麦芒6 极光蓝,很不错哦,5,2018-09-12 16:48:06,j***z,极光色,6GB+128GB,标准版,,银牌会员
12882,12882,麦芒6 极光蓝,p拍照和其他手机相比，确实很赞，尤其是直出，相当棒。颜色么得说，自从和潘东合作以后，华为配色也是厉害了,5,2018-09-12 16:46:58,永***司,极光色,6GB+128GB,标准版,来自京东Android客户端,PLUS会员
12883,12883,麦芒6 极光蓝,还可以，照相很好，其它功能在摸索,5,2018-09-12 16:43:57,大***黎,极光色,6GB+256GB,标准版,来自京东Android客户端,PLUS会员
12884,12884,麦芒6 极光蓝,挺好的 挺漂亮的 超赞,5,2018-09-12 16:36:53,嘉***东,亮黑色,6GB+64GB,标准版,来自京东Android客户端,PLUS会员
12885,12885,麦芒6 极光蓝,一次非常满意的购物体验，之所以选择京东自营，就是担心一有质量问题联系京东售后服务有保障。果然，买了华为p20手机，四天后才发现手机屏幕右上角有一块银色的亮晶晶像电镀痕迹的斑块，用软布擦怎么也擦不掉。于是提请售后服务要求换货，京东售后服务人员主动联系，并于三天后重新换了个手机。在京东购买电子产品和大件物品，首选京东自营，并谢谢赠送的2000京豆，以后还会光顾京东，再一次感谢?,5,2018-09-12 16:28:18,摄***遥,极光色,6GB+64GB,标准版,来自京东iPhone客户端,金牌会员
12886,12886,麦芒6 极光蓝,您没有填写内容，默认好评,5,2018-09-12 16:20:55,Q***Y,极光色,6GB+128GB,标准版,来自微信购物,金牌会员
12887,12887,麦芒6 极光蓝,很精致，有档次，很喜欢,5,2018-09-12 16:17:49,l***7,极光色,6GB+64GB,标准版,,企业会员
12888,12888,麦芒6 极光蓝,很精致，有档次，很喜欢,5,2018-09-12 16:16:56,l***7,极光色,6GB+64GB,标准版,,企业会员
12889,12889,麦芒6 极光蓝,手机很好用，比预期的要好，快递很准时,5,2018-09-12 16:31:15,墨***仟,樱粉金,6GB+64GB,标准版,来自京东Android客户端,金牌会员
12890,12890,麦芒6 极光蓝,手机很不错，连续买了两个，快递很准时,5,2018-09-12 16:29:47,墨***仟,亮黑色,6GB+64GB,标准版,来自京东Android客户端,金牌会员
12891,12891,麦芒6 极光蓝,挺好的手机，速度快，拍摄好，值得入手。,5,2018-09-12 16:14:17,j***3,极光色,6GB+128GB,标准版,,金牌会员
12892,12892,麦芒6 极光蓝,效果非常的好,5,2018-09-12 15:51:22,小***1,极光色,6GB+128GB,标准版,来自京东Android客户端,PLUS会员
12893,12893,麦芒6 极光蓝,很好看，运行速度没的说，一如既往地支持华为,5,2018-09-12 14:50:01,h***g,极光色,6GB+128GB,标准版,来自京东Android客户端,PLUS会员
12894,12894,麦芒6 极光蓝,喜欢～拍照效果贼牛#～,5,2018-09-12 15:49:07,H***5,极光色,6GB+64GB,标准版,来自京东Android客户端,钻石会员
12895,12895,麦芒6 极光蓝,喜欢！！超级喜欢！！！好看！！！拍照也好看,5,2018-09-12 15:47:51,H***5,极光色,6GB+128GB,标准版,来自京东Android客户端,钻石会员
12896,12896,麦芒6 极光蓝,挺好,5,2018-09-12 15:33:58,l***0,亮黑色,6GB+64GB,标准版,来自京东iPhone客户端,金牌会员
12897,12897,麦芒6 极光蓝,手机到手两天了，初步感觉还可以。,5,2018-09-12 15:05:59,谢***洋,极光色,6GB+128GB,标准版,来自京东Android客户端,银牌会员
12898,12898,麦芒6 极光蓝,美！拍照是真强大。做工没得说。国货当自强！,5,2018-09-12 14:49:38,j***l,珠光贝母色,6GB+128GB,标准版,来自京东iPhone客户端,钻石会员
12899,12899,麦芒6 极光蓝,手机还可以，有质感，华为的精品手机,5,2018-09-12 14:47:51,j***3,宝石蓝,6GB+64GB,标准版,来自京东Android客户端,PLUS会员
12900,12900,麦芒6 极光蓝,东西还可以，物流很给力，啦啦啦啦啦，啦啦啦啦啦,5,2018-09-12 14:46:33,庆***册,宝石蓝,6GB+256GB,标准版,来自京东iPhone客户端,PLUS会员
12901,12901,麦芒6 极光蓝,还不错，没赠品可惜,5,2018-09-12 14:40:14,j***2,极光色,6GB+128GB,标准版,来自京东Android客户端,钻石会员
12902,12902,麦芒6 极光蓝,照相功能确实强大，很多模式功能还需要慢慢探索。正好赶上出新颜色，确实很漂亮，极光闪蝶的这个蓝非常高端，也够低调不招摇，完全符合自己的审美。就是手机略大，用起来很爽，可装起来就略略有点不方便了,5,2018-09-12 14:38:50,j***j,极光闪蝶色,6GB+128GB,标准版,来自京东iPhone客户端,金牌会员
12903,12903,麦芒6 极光蓝,新入手p20Pro，各方面都比较满意,5,2018-09-12 14:16:22,f***m,极光色,6GB+128GB,标准版,来自京东Android客户端,PLUS会员
12904,12904,麦芒6 极光蓝,好东西入手给老婆换上了，然后把老婆的Mate10弄过来了?,5,2018-09-12 14:14:13,我***静,极光色,6GB+128GB,标准版,来自京东Android客户端,金牌会员
12905,12905,麦芒6 极光蓝,给女朋友买的手机，赔的。,5,2018-09-12 14:13:01,游***_,极光色,6GB+128GB,标准版,来自京东Android客户端,PLUS会员
12906,12906,麦芒6 极光蓝,手机反应真的很快，从20换了20pro，很喜欢，就是前置摄像头有稍微颗粒感，发热也不严重，只要不边充电边玩,5,2018-09-12 14:12:33,白***6,极光色,6GB+128GB,标准版,来自京东Android客户端,PLUS会员
